"datetime","chest.temp","chest.activity"
2017-10-19 20:49:00,32.118,7.2
2017-10-19 20:54:00,32.362,1.2
2017-10-19 20:59:00,33.062,5.6
2017-10-19 21:04:00,33.166,8.4
2017-10-19 21:09:00,32.958,17.2
2017-10-19 21:14:00,32.814,31.6
2017-10-19 21:19:00,33.206,2.8
2017-10-19 21:24:00,33.818,14.8
2017-10-19 21:29:00,34.178,6.8
2017-10-19 21:34:00,34.066,2.4
2017-10-19 21:39:00,34.034,8.4
2017-10-19 21:44:00,34.162,5.6
2017-10-19 21:49:00,34.438,10
2017-10-19 21:54:00,34.382,0
2017-10-19 21:59:00,33.926,0.4
2017-10-19 22:04:00,33.586,0
2017-10-19 22:09:00,33.386,0.4
2017-10-19 22:14:00,33.166,1.2
2017-10-19 22:19:00,33.15,4.8
2017-10-19 22:24:00,33.046,91.2
2017-10-19 22:29:00,32.73,24.8
2017-10-19 22:34:00,32.646,9.2
2017-10-19 22:39:00,32.722,4.4
2017-10-19 22:44:00,32.714,1.2
2017-10-19 22:49:00,32.746,0
2017-10-19 22:54:00,32.798,0
2017-10-19 22:59:00,32.89,0
2017-10-19 23:04:00,33.118,11.6
2017-10-19 23:09:00,32.986,1.6
2017-10-19 23:14:00,32.554,1.2
2017-10-19 23:19:00,32.282,2.4
2017-10-19 23:24:00,32.346,3.2
2017-10-19 23:29:00,32.518,0
2017-10-19 23:34:00,32.83,3.2
2017-10-19 23:39:00,32.634,3.2
2017-10-19 23:44:00,32.262,2
2017-10-19 23:49:00,32.07,7.2
2017-10-19 23:54:00,32.306,0.4
2017-10-19 23:59:00,32.346,3.2
2017-10-20 00:04:00,32.27,1.2
2017-10-20 00:09:00,32.194,0.8
2017-10-20 00:14:00,32.11,0
2017-10-20 00:19:00,32.054,0
2017-10-20 00:24:00,32.022,0.4
2017-10-20 00:29:00,31.942,0.4
2017-10-20 00:34:00,31.906,0.8
2017-10-20 00:39:00,31.858,0.8
2017-10-20 00:44:00,31.762,1.6
2017-10-20 00:49:00,31.674,3.6
2017-10-20 00:54:00,31.63,1.2
2017-10-20 00:59:00,31.598,0.8
2017-10-20 01:04:00,31.754,4.4
2017-10-20 01:09:00,32.086,0.8
2017-10-20 01:14:00,32.262,0
2017-10-20 01:19:00,32.234,7.2
2017-10-20 01:24:00,31.558,9.2
2017-10-20 01:29:00,31.598,0
2017-10-20 01:34:00,31.798,0
2017-10-20 01:39:00,32.05,0
2017-10-20 01:44:00,32.258,0
2017-10-20 01:49:00,32.33,8.4
2017-10-20 01:54:00,32.282,1.2
2017-10-20 01:59:00,32.126,3.6
2017-10-20 02:04:00,31.974,5.2
2017-10-20 02:09:00,31.918,10
2017-10-20 02:14:00,32.142,9.2
2017-10-20 02:19:00,32.682,0
2017-10-20 02:24:00,32.858,1.6
2017-10-20 02:29:00,33.166,12.4
2017-10-20 02:34:00,33.062,32
2017-10-20 02:39:00,32.57,46
2017-10-20 02:44:00,32.77,0.8
2017-10-20 02:49:00,33.186,4.8
2017-10-20 02:54:00,33.482,10.4
2017-10-20 02:59:00,33.77,0
2017-10-20 03:04:00,33.986,0
2017-10-20 03:09:00,34.114,0
2017-10-20 03:14:00,34.586,11.2
2017-10-20 03:19:00,34.49,0
2017-10-20 03:24:00,34.286,0
2017-10-20 03:29:00,34.226,5.2
2017-10-20 03:34:00,34.562,2
2017-10-20 03:39:00,34.574,2.8
2017-10-20 03:44:00,34.722,2.8
2017-10-20 03:49:00,34.658,6.8
2017-10-20 03:54:00,34.922,14.8
2017-10-20 03:59:00,35.146,1
2017-10-20 04:04:00,35.058,11
2017-10-20 04:09:00,35.118,8.8
2017-10-20 04:14:00,35.054,2
2017-10-20 04:19:00,34.69,6
2017-10-20 04:24:00,34.63,11.6
2017-10-20 04:29:00,34.674,0.8
2017-10-20 04:34:00,34.746,22.4
2017-10-20 04:39:00,34.542,1
2017-10-20 04:44:00,34.366,0
2017-10-20 04:49:00,34.406,5.2
2017-10-20 04:54:00,34.862,5.2
2017-10-20 04:59:00,34.666,0
2017-10-20 05:04:00,34.83,14.4
2017-10-20 05:09:00,34.802,3.2
2017-10-20 05:14:00,34.814,1.2
2017-10-20 05:19:00,34.85,15.2
2017-10-20 05:24:00,34.718,41.4
2017-10-20 05:29:00,35.178,25.6
2017-10-20 05:34:00,34.706,28
2017-10-20 05:39:00,34.63,57
2017-10-20 05:44:00,34.122,171.6
2017-10-20 05:49:00,33.334,90
2017-10-20 05:54:00,33.498,19.6
2017-10-20 05:59:00,33.61,13.2
2017-10-20 06:04:00,33.466,30
2017-10-20 06:09:00,33.442,31.6
2017-10-20 06:14:00,33.41,34.4
2017-10-20 06:19:00,33.186,146.8
2017-10-20 06:24:00,32.902,63.2
2017-10-20 06:29:00,32.67,13.6
